disease,symptoms,context
jock itch (tinea cruris),"Excessive thirst, frequent urination, bedwetting (in children who were previously dry at night), extreme hunger, unexplained weight loss, irritability, mood changes, fatigue, weakness, blurred vision","jock itch (tinea cruris): Excessive thirst, frequent urination, bedwetting (in children who were previously dry at night), extreme hunger, unexplained weight loss, irritability, mood changes, fatigue, weakness, blurred vision"
joubert syndrome,"Joint pain, swelling, stiffness, redness, warmth, limping, reluctance to use an arm or leg, morning stiffness, fatigue, poor appetite, growth problems, eye inflammation (uveitis)","joubert syndrome: Joint pain, swelling, stiffness, redness, warmth, limping, reluctance to use an arm or leg, morning stiffness, fatigue, poor appetite, growth problems, eye inflammation (uveitis)"
jumpers knee (patellar tendinitis),"Myoclonic jerks (brief, shock-like muscle contractions), generalized tonic-clonic seizures (grand mal seizures), absence seizures (brief loss of consciousness), sudden falls, muscle weakness or stiffness","jumpers knee (patellar tendinitis): Myoclonic jerks (brief, shock-like muscle contractions), generalized tonic-clonic seizures (grand mal seizures), absence seizures (brief loss of consciousness), sudden falls, muscle weakness or stiffness"
juvenile arthritis,"Red or purple patches on the skin, nodules or tumors, lesions in the mouth, nose, or anus, swelling of the legs, feet, or face, cough, shortness of breath, abdominal pain, fever, weight loss","juvenile arthritis: Red or purple patches on the skin, nodules or tumors, lesions in the mouth, nose, or anus, swelling of the legs, feet, or face, cough, shortness of breath, abdominal pain, fever, weight loss"
juvenile diabetes (type 1 diabetes),"High fever, rash, red eyes (conjunctivitis), redness and swelling of the hands and feet, swollen lymph nodes, strawberry tongue, peeling skin, joint pain and swelling, irritability, abdominal pain","juvenile diabetes (type 1 diabetes): High fever, rash, red eyes (conjunctivitis), redness and swelling of the hands and feet, swollen lymph nodes, strawberry tongue, peeling skin, joint pain and swelling, irritability, abdominal pain"
juvenile idiopathic arthritis,"Thick, raised scars that grow beyond the boundaries of the original injury, red or pink in color, itchy or painful, may continue to grow over time","juvenile idiopathic arthritis: Thick, raised scars that grow beyond the boundaries of the original injury, red or pink in color, itchy or painful, may continue to grow over time"
juvenile myoclonic epilepsy,"Eye pain, redness, tearing, blurred vision, sensitivity to light, sensation of a foreign body in the eye, discharge from the eye, difficulty opening the eyelid","juvenile myoclonic epilepsy: Eye pain, redness, tearing, blurred vision, sensitivity to light, sensation of a foreign body in the eye, discharge from the eye, difficulty opening the eyelid"
kaposi's sarcoma,"Blurred or distorted vision, increased sensitivity to light, glare, halos around lights, frequent changes in eyeglass prescription, eye strain or discomfort, difficulty driving at night","kaposi's sarcoma: Blurred or distorted vision, increased sensitivity to light, glare, halos around lights, frequent changes in eyeglass prescription, eye strain or discomfort, difficulty driving at night"
kawasaki disease,"Blood in urine, lower back pain or side pain, mass or lump in the abdomen, loss of appetite, unexplained weight loss, fatigue, fever, anemia","kawasaki disease: Blood in urine, lower back pain or side pain, mass or lump in the abdomen, loss of appetite, unexplained weight loss, fatigue, fever, anemia"
keloids,"Severe pain in the side and back, below the ribs, pain that radiates to the lower abdomen and groin, pain during urination, pink, red, or brown urine, cloudy or foul-smelling urine, nausea, vomiting","keloids: Severe pain in the side and back, below the ribs, pain that radiates to the lower abdomen and groin, pain during urination, pink, red, or brown urine, cloudy or foul-smelling urine, nausea, vomiting"
keratitis,"Wrist pain, swelling, limited range of motion, stiffness, weakness, tenderness, difficulty gripping or grasping objects, clicking or popping sensation, reduced grip strength","keratitis: Wrist pain, swelling, limited range of motion, stiffness, weakness, tenderness, difficulty gripping or grasping objects, clicking or popping sensation, reduced grip strength"
keratoconus,"Recurrent episodes of excessive sleepiness lasting days to weeks, increased appetite, hypersexuality, irritability, cognitive disturbances, confusion, memory problems, hallucinations","keratoconus: Recurrent episodes of excessive sleepiness lasting days to weeks, increased appetite, hypersexuality, irritability, cognitive disturbances, confusion, memory problems, hallucinations"
kidney cancer,"Recurrent, irresistible urges to steal items that are not needed for personal use or monetary gain, feelings of tension or arousal before the theft, pleasure or relief during the theft, guilt or remorse afterward","kidney cancer: Recurrent, irresistible urges to steal items that are not needed for personal use or monetary gain, feelings of tension or arousal before the theft, pleasure or relief during the theft, guilt or remorse afterward"
kidney stones,"Short neck, limited range of motion in the neck, low hairline at the back of the head, fused vertebrae in the neck, abnormalities of the spine, scoliosis, facial asymmetry, congenital heart defects","kidney stones: Short neck, limited range of motion in the neck, low hairline at the back of the head, fused vertebrae in the neck, abnormalities of the spine, scoliosis, facial asymmetry, congenital heart defects"
kienbãâck's disease,"Port-wine stain birthmark, varicose veins, overgrowth of soft tissue and/or bone, limb asymmetry, swelling, abnormal blood vessels, lymphatic malformations, aneurysms","kienbãâck's disease: Port-wine stain birthmark, varicose veins, overgrowth of soft tissue and/or bone, limb asymmetry, swelling, abnormal blood vessels, lymphatic malformations, aneurysms"
kleine-levin syndrome,"Decreased fear and anxiety, hypersexuality, oral tendencies (putting objects in the mouth), visual agnosia (inability to recognize objects by sight), hyperphagia (excessive eating), memory problems, mood changes","kleine-levin syndrome: Decreased fear and anxiety, hypersexuality, oral tendencies (putting objects in the mouth), visual agnosia (inability to recognize objects by sight), hyperphagia (excessive eating), memory problems, mood changes"
kleptomania,"Pain and swelling in the knee, warmth, tenderness, redness, difficulty bending or straightening the knee, pain when kneeling or touching the knee","kleptomania: Pain and swelling in the knee, warmth, tenderness, redness, difficulty bending or straightening the knee, pain when kneeling or touching the knee"
klippel-feil syndrome,"Pain, swelling, instability, popping or crunching noises, limited range of motion, tenderness, bruising","klippel-feil syndrome: Pain, swelling, instability, popping or crunching noises, limited range of motion, tenderness, bruising"
klippel-trenaunay syndrome,"Loss of developmental milestones (such as crawling or walking), irritability, unexplained crying, muscle weakness, stiffness, seizures, vision loss, difficulty swallowing or feeding, deafness","klippel-trenaunay syndrome: Loss of developmental milestones (such as crawling or walking), irritability, unexplained crying, muscle weakness, stiffness, seizures, vision loss, difficulty swallowing or feeding, deafness"
klãâver-bucy syndrome,"Edema (swelling), especially in the feet, legs, and belly, fatigue, irritability, changes in skin and hair color, thinning hair, loss of muscle mass, enlarged liver, anemia, failure to grow or gain weight","klãâver-bucy syndrome: Edema (swelling), especially in the feet, legs, and belly, fatigue, irritability, changes in skin and hair color, thinning hair, loss of muscle mass, enlarged liver, anemia, failure to grow or gain weight"
knee bursitis,"Hunched or rounded back, forward bending of the spine, back pain or stiffness, fatigue, muscle weakness, difficulty standing up straight, breathing problems, digestive issues, social or psychological effects","knee bursitis: Hunched or rounded back, forward bending of the spine, back pain or stiffness, fatigue, muscle weakness, difficulty standing up straight, breathing problems, digestive issues, social or psychological effects"
knee ligament injury,"Vertigo (sensation of spinning or whirling), nausea, vomiting, balance problems, unsteadiness, dizziness, hearing loss, tinnitus (ringing in the ears), ear pain or pressure","knee ligament injury: Vertigo (sensation of spinning or whirling), nausea, vomiting, balance problems, unsteadiness, dizziness, hearing loss, tinnitus (ringing in the ears), ear pain or pressure"
krabbe disease,"Abdominal pain or cramps, bloating, gas, diarrhea, nausea, vomiting, rumbling or gurgling sounds in the belly, loose stools, acidic stools","krabbe disease: Abdominal pain or cramps, bloating, gas, diarrhea, nausea, vomiting, rumbling or gurgling sounds in the belly, loose stools, acidic stools"
kwashiorkor,"Muscle weakness, especially in the legs, hips, and shoulders, difficulty walking, climbing stairs, or lifting objects, drooping eyelids, double vision, dry mouth, difficulty speaking or swallowing","kwashiorkor: Muscle weakness, especially in the legs, hips, and shoulders, difficulty walking, climbing stairs, or lifting objects, drooping eyelids, double vision, dry mouth, difficulty speaking or swallowing"
kyphosis,"Loss of language skills (aphasia), language regression, difficulty understanding speech, seizures (often nocturnal), hyperactivity, irritability, behavioral changes, aggressive behavior, sleep disturbances","kyphosis: Loss of language skills (aphasia), language regression, difficulty understanding speech, seizures (often nocturnal), hyperactivity, irritability, behavioral changes, aggressive behavior, sleep disturbances"
labyrinthitis,"Bone pain or swelling, skin rash, lesions, ear discharge or infection, enlarged lymph nodes, liver or spleen, frequent infections, fever, weight loss, anemia","labyrinthitis: Bone pain or swelling, skin rash, lesions, ear discharge or infection, enlarged lymph nodes, liver or spleen, frequent infections, fever, weight loss, anemia"
lactose intolerance,"Hoarseness, persistent cough, throat pain or discomfort, difficulty swallowing, ear pain, lump or mass in the neck, weight loss, coughing up blood, breathing difficulties","lactose intolerance: Hoarseness, persistent cough, throat pain or discomfort, difficulty swallowing, ear pain, lump or mass in the neck, weight loss, coughing up blood, breathing difficulties"
lambert-eaton myasthenic syndrome,"Hoarseness, loss of voice, sore throat, dry throat, tickling sensation in the throat, cough, difficulty swallowing, fever (if viral), swollen lymph nodes (if bacterial)","lambert-eaton myasthenic syndrome: Hoarseness, loss of voice, sore throat, dry throat, tickling sensation in the throat, cough, difficulty swallowing, fever (if viral), swollen lymph nodes (if bacterial)"
landau-kleffner syndrome,"Sore throat, hoarseness, chronic cough, frequent throat clearing, sensation of a lump in the throat, difficulty swallowing, heartburn, regurgitation, bad breath","landau-kleffner syndrome: Sore throat, hoarseness, chronic cough, frequent throat clearing, sensation of a lump in the throat, difficulty swallowing, heartburn, regurgitation, bad breath"
langerhans cell histiocytosis,"Pain or burning on the outside of the elbow and forearm, weak grip strength, pain when lifting or carrying objects, pain when extending the wrist, stiffness, swelling, tenderness","langerhans cell histiocytosis: Pain or burning on the outside of the elbow and forearm, weak grip strength, pain when lifting or carrying objects, pain when extending the wrist, stiffness, swelling, tenderness"
laryngeal cancer,"Drooping eyelid (ptosis), double vision (diplopia), difficulty swallowing (dysphagia), hoarseness, facial weakness or numbness, vertigo (spinning sensation), nausea, vomiting, hiccups, balance problems","laryngeal cancer: Drooping eyelid (ptosis), double vision (diplopia), difficulty swallowing (dysphagia), hoarseness, facial weakness or numbness, vertigo (spinning sensation), nausea, vomiting, hiccups, balance problems"
laryngitis,"Abdominal pain, bloating, gas, diarrhea, constipation, food sensitivities, fatigue, joint pain, headaches, skin rashes, mood swings","laryngitis: Abdominal pain, bloating, gas, diarrhea, constipation, food sensitivities, fatigue, joint pain, headaches, skin rashes, mood swings"
laryngopharyngeal reflux (lpr),"Sudden, intense muscle contractions, usually in the calf, foot, or thigh, pain or muscle tightness, visible or palpable knot or bump, soreness or tenderness after the cramp subsides, muscle twitching","laryngopharyngeal reflux (lpr): Sudden, intense muscle contractions, usually in the calf, foot, or thigh, pain or muscle tightness, visible or palpable knot or bump, soreness or tenderness after the cramp subsides, muscle twitching"
lateral epicondylitis (tennis elbow),"Limping, hip pain (usually in the groin), stiffness or limited range of motion in the hip, knee, or groin, thigh muscle atrophy (shrinking), leg length discrepancy, limited hip abduction","lateral epicondylitis (tennis elbow): Limping, hip pain (usually in the groin), stiffness or limited range of motion in the hip, knee, or groin, thigh muscle atrophy (shrinking), leg length discrepancy, limited hip abduction"
lateral medullary syndrome,"Fever, chills, cough, shortness of breath, muscle aches, headache, fatigue, loss of appetite, confusion, nausea, vomiting, diarrhea, chest pain","lateral medullary syndrome: Fever, chills, cough, shortness of breath, muscle aches, headache, fatigue, loss of appetite, confusion, nausea, vomiting, diarrhea, chest pain"
leaky gut syndrome,"Skin sores, ulcers, or lesions, fever, chills, swollen glands, weight loss, fatigue, abdominal pain, diarrhea, cough, difficulty breathing","leaky gut syndrome: Skin sores, ulcers, or lesions, fever, chills, swollen glands, weight loss, fatigue, abdominal pain, diarrhea, cough, difficulty breathing"
leg cramps,"Sore throat, fever, headache, fatigue, neck pain, swelling, or stiffness, difficulty swallowing, cough, chest pain, shortness of breath, swollen lymph nodes, chills, muscle aches","leg cramps: Sore throat, fever, headache, fatigue, neck pain, swelling, or stiffness, difficulty swallowing, cough, chest pain, shortness of breath, swollen lymph nodes, chills, muscle aches"
legg-calvãâ-perthes disease,"Multiple seizure types (tonic, atonic, absence, myoclonic), developmental delays, intellectual disability, behavior problems, slow or halted growth, abnormal electrical activity on EEG","legg-calvãâ-perthes disease: Multiple seizure types (tonic, atonic, absence, myoclonic), developmental delays, intellectual disability, behavior problems, slow or halted growth, abnormal electrical activity on EEG"
legionnaires' disease,"Fever, chills, headache, muscle aches, vomiting, diarrhea, abdominal pain, jaundice, rash, red eyes, cough, shortness of breath, chest pain","legionnaires' disease: Fever, chills, headache, muscle aches, vomiting, diarrhea, abdominal pain, jaundice, rash, red eyes, cough, shortness of breath, chest pain"
leishmaniasis,"Fatigue, weakness, pale skin, shortness of breath, easy bruising or bleeding, frequent infections, fever, weight loss, swollen lymph nodes, enlarged liver or spleen, night sweats, bone pain","leishmaniasis: Fatigue, weakness, pale skin, shortness of breath, easy bruising or bleeding, frequent infections, fever, weight loss, swollen lymph nodes, enlarged liver or spleen, night sweats, bone pain"
lemierre's syndrome,"Elevated white blood cell count, which may be detected during a routine blood test or when investigating symptoms such as fever, infection, or inflammation","lemierre's syndrome: Elevated white blood cell count, which may be detected during a routine blood test or when investigating symptoms such as fever, infection, or inflammation"
lennox-gastaut syndrome,"Low white blood cell count, which may increase the risk of infections, fever, fatigue, weakness, frequent infections, sore throat, mouth sores, skin infections, pneumonia, cough, abdominal pain","lennox-gastaut syndrome: Low white blood cell count, which may increase the risk of infections, fever, fatigue, weakness, frequent infections, sore throat, mouth sores, skin infections, pneumonia, cough, abdominal pain"
leptospirosis,"Shakiness, dizziness, sweating, hunger, irritability, anxiety, rapid heartbeat, pale skin, headache, blurred vision","leptospirosis: Shakiness, dizziness, sweating, hunger, irritability, anxiety, rapid heartbeat, pale skin, headache, blurred vision"
leukemia,"Weakness, fatigue, muscle cramps or weakness, constipation, abnormal heart rhythms, tingling or numbness, nausea, vomiting","leukemia: Weakness, fatigue, muscle cramps or weakness, constipation, abnormal heart rhythms, tingling or numbness, nausea, vomiting"
leukocytosis,"Nausea, vomiting, headache, confusion, seizures, muscle cramps or weakness, irritability, restlessness, fatigue","leukocytosis: Nausea, vomiting, headache, confusion, seizures, muscle cramps or weakness, irritability, restlessness, fatigue"
leukopenia,"Muscle cramps or spasms, tingling or numbness, fatigue, irritability, dry skin, brittle nails, hair loss, memory problems","leukopenia: Muscle cramps or spasms, tingling or numbness, fatigue, irritability, dry skin, brittle nails, hair loss, memory problems"
lewy body dementia,"Cognitive decline, visual hallucinations, fluctuating attention and alertness, Parkinson's-like symptoms (tremors, stiffness, slow movement), sleep disturbances, depression, anxiety","lewy body dementia: Cognitive decline, visual hallucinations, fluctuating attention and alertness, Parkinson's-like symptoms (tremors, stiffness, slow movement), sleep disturbances, depression, anxiety"
lichen planus,"Itchy, flat-topped, purple or reddish bumps, often on the wrists, ankles, lower back, and genitalia, lesions or sores in the mouth, hair loss, thinning or ridges on the nails, dark spots or discoloration of the skin","lichen planus: Itchy, flat-topped, purple or reddish bumps, often on the wrists, ankles, lower back, and genitalia, lesions or sores in the mouth, hair loss, thinning or ridges on the nails, dark spots or discoloration of the skin"
lichen sclerosus,"Itching (pruritus), discomfort or pain, white, patchy, thin areas of skin, shiny or smooth patches, bleeding or blistering, tearing or fissuring, dyspareunia (painful intercourse)","lichen sclerosus: Itching (pruritus), discomfort or pain, white, patchy, thin areas of skin, shiny or smooth patches, bleeding or blistering, tearing or fissuring, dyspareunia (painful intercourse)"
limb-girdle muscular dystrophy,"Muscle weakness and wasting, especially in the shoulders and hips, difficulty walking, climbing stairs, or lifting objects, frequent falls, calf muscle enlargement, loss of muscle mass","limb-girdle muscular dystrophy: Muscle weakness and wasting, especially in the shoulders and hips, difficulty walking, climbing stairs, or lifting objects, frequent falls, calf muscle enlargement, loss of muscle mass"
listeriosis,"Flu-like symptoms (fever, chills, muscle aches), nausea, vomiting, diarrhea, headache, stiff neck, confusion, loss of balance, convulsions, miscarriage or stillbirth in pregnant individuals","listeriosis: Flu-like symptoms (fever, chills, muscle aches), nausea, vomiting, diarrhea, headache, stiff neck, confusion, loss of balance, convulsions, miscarriage or stillbirth in pregnant individuals"
liver cancer,"Abdominal pain or tenderness, swelling in the abdomen, unexplained weight loss, jaundice (yellowing of the skin and eyes), nausea, vomiting, weakness, fatigue, loss of appetite","liver cancer: Abdominal pain or tenderness, swelling in the abdomen, unexplained weight loss, jaundice (yellowing of the skin and eyes), nausea, vomiting, weakness, fatigue, loss of appetite"
liver cirrhosis,"Fatigue, weakness, loss of appetite, weight loss, nausea, vomiting, abdominal pain, swelling in the abdomen, jaundice, itching, easy bruising, red palms, spider-like blood vessels on the skin, confusion or personality changes","liver cirrhosis: Fatigue, weakness, loss of appetite, weight loss, nausea, vomiting, abdominal pain, swelling in the abdomen, jaundice, itching, easy bruising, red palms, spider-like blood vessels on the skin, confusion or personality changes"
liver fluke infection,"Abdominal pain, nausea, vomiting, diarrhea, fever, jaundice, enlargement of the liver or spleen, weakness, fatigue","liver fluke infection: Abdominal pain, nausea, vomiting, diarrhea, fever, jaundice, enlargement of the liver or spleen, weakness, fatigue"
lockjaw (tetanus),"Stiffness in the jaw muscles, difficulty opening the mouth (trismus), muscle stiffness and spasms, stiffness and pain in the neck, difficulty swallowing, fever, sweating, elevated blood pressure","lockjaw (tetanus): Stiffness in the jaw muscles, difficulty opening the mouth (trismus), muscle stiffness and spasms, stiffness and pain in the neck, difficulty swallowing, fever, sweating, elevated blood pressure"
loeys-dietz syndrome,"Widening or bulging of the arteries, especially the aorta, easy bruising or scarring, thin or translucent skin, joint hypermobility, cleft palate or bifid uvula, skeletal abnormalities, early-onset osteoarthritis","loeys-dietz syndrome: Widening or bulging of the arteries, especially the aorta, easy bruising or scarring, thin or translucent skin, joint hypermobility, cleft palate or bifid uvula, skeletal abnormalities, early-onset osteoarthritis"
lãâfgren syndrome,"Fever, erythema nodosum (painful red nodules under the skin, usually on the shins), joint pain and swelling, enlarged lymph nodes in the chest (hilar lymphadenopathy), bilateral ankle arthritis","lãâfgren syndrome: Fever, erythema nodosum (painful red nodules under the skin, usually on the shins), joint pain and swelling, enlarged lymph nodes in the chest (hilar lymphadenopathy), bilateral ankle arthritis"
loneliness,"Feelings of sadness or emptiness, social withdrawal, lack of interest in activities, difficulty sleeping, fatigue, decreased appetite, feelings of worthlessness or hopelessness, difficulty concentrating","loneliness: Feelings of sadness or emptiness, social withdrawal, lack of interest in activities, difficulty sleeping, fatigue, decreased appetite, feelings of worthlessness or hopelessness, difficulty concentrating"
long qt syndrome,"Fainting or near fainting, seizures, irregular heartbeats (arrhythmias), palpitations, dizziness or lightheadedness, sudden cardiac arrest or death","long qt syndrome: Fainting or near fainting, seizures, irregular heartbeats (arrhythmias), palpitations, dizziness or lightheadedness, sudden cardiac arrest or death"
lordosis,"Exaggerated curvature of the spine (inward curvature of the lower back), lower back pain, stiffness, muscle spasms, difficulty standing upright, protruding abdomen","lordosis: Exaggerated curvature of the spine (inward curvature of the lower back), lower back pain, stiffness, muscle spasms, difficulty standing upright, protruding abdomen"
lou gehrig's disease (als),"Muscle weakness, twitching or cramping, difficulty walking, speaking, swallowing or breathing, muscle atrophy, loss of motor control, paralysis, cognitive and behavioral changes, difficulty with fine motor tasks","lou gehrig's disease (als): Muscle weakness, twitching or cramping, difficulty walking, speaking, swallowing or breathing, muscle atrophy, loss of motor control, paralysis, cognitive and behavioral changes, difficulty with fine motor tasks"
low back pain,"Dull, aching pain in the lower back, sharp or stabbing pain that may radiate into the legs (sciatica), muscle tightness or stiffness, difficulty standing up straight, pain that worsens with movement or lifting","low back pain: Dull, aching pain in the lower back, sharp or stabbing pain that may radiate into the legs (sciatica), muscle tightness or stiffness, difficulty standing up straight, pain that worsens with movement or lifting"
lung abscess,"Fever, chills, cough, chest pain, difficulty breathing, coughing up blood-streaked sputum, foul-smelling or bad-tasting breath, fatigue","lung abscess: Fever, chills, cough, chest pain, difficulty breathing, coughing up blood-streaked sputum, foul-smelling or bad-tasting breath, fatigue"
lung cancer,"Persistent cough, coughing up blood or rust-colored sputum, chest pain, wheezing, hoarseness, unexplained weight loss, fatigue, shortness of breath, recurrent respiratory infections, bone pain","lung cancer: Persistent cough, coughing up blood or rust-colored sputum, chest pain, wheezing, hoarseness, unexplained weight loss, fatigue, shortness of breath, recurrent respiratory infections, bone pain"
lung fluke infection,"Cough, chest pain, shortness of breath, fever, fatigue, weight loss, coughing up blood, difficulty breathing, nausea, vomiting, abdominal pain","lung fluke infection: Cough, chest pain, shortness of breath, fever, fatigue, weight loss, coughing up blood, difficulty breathing, nausea, vomiting, abdominal pain"
lupus (systemic lupus erythematosus),"Fatigue, fever, joint pain and stiffness, butterfly-shaped rash on the face (malar rash), photosensitivity, Raynaud's phenomenon, mouth or nose sores, chest pain, shortness of breath, dry eyes, headache","lupus (systemic lupus erythematosus): Fatigue, fever, joint pain and stiffness, butterfly-shaped rash on the face (malar rash), photosensitivity, Raynaud's phenomenon, mouth or nose sores, chest pain, shortness of breath, dry eyes, headache"
lyme disease,"Erythema migrans (bullseye rash), fever, chills, fatigue, muscle and joint aches, swollen lymph nodes, headache, neck stiffness, facial paralysis (Bell's palsy), heart palpitations, dizziness, shortness of breath","lyme disease: Erythema migrans (bullseye rash), fever, chills, fatigue, muscle and joint aches, swollen lymph nodes, headache, neck stiffness, facial paralysis (Bell's palsy), heart palpitations, dizziness, shortness of breath"
lymphangioleiomyomatosis (lam),"Shortness of breath, coughing, chest pain, fatigue, wheezing, recurrent lung infections, pneumothorax (collapsed lung), abdominal swelling","lymphangioleiomyomatosis (lam): Shortness of breath, coughing, chest pain, fatigue, wheezing, recurrent lung infections, pneumothorax (collapsed lung), abdominal swelling"
lymphangitis,"Red streaks under the skin, swelling, warmth, tenderness, pain, fever, chills, fatigue, headache","lymphangitis: Red streaks under the skin, swelling, warmth, tenderness, pain, fever, chills, fatigue, headache"
lymphedema,"Swelling in one or more limbs (arms or legs), swelling in the genital area, feeling of heaviness or tightness in the affected limb","lymphedema: Swelling in one or more limbs (arms or legs), swelling in the genital area, feeling of heaviness or tightness in the affected limb"
lymphocytic colitis,"Chronic diarrhea (watery or semi-formed stools), abdominal cramps, pain or discomfort, urgency to have bowel movements","lymphocytic colitis: Chronic diarrhea (watery or semi-formed stools), abdominal cramps, pain or discomfort, urgency to have bowel movements"
lymphoma,"Swollen lymph nodes (usually painless), fever, night sweats, unexplained weight loss, fatigue, itching, chest pain, difficulty breathing","lymphoma: Swollen lymph nodes (usually painless), fever, night sweats, unexplained weight loss, fatigue, itching, chest pain, difficulty breathing"
lymphopenia,"Increased susceptibility to infections, frequent infections, fatigue, weakness, fever, swollen lymph nodes","lymphopenia: Increased susceptibility to infections, frequent infections, fatigue, weakness, fever, swollen lymph nodes"
lynch syndrome,"Increased risk of colorectal cancer, endometrial cancer, and other cancers; family history of cancer; presence of polyps in the colon","lynch syndrome: Increased risk of colorectal cancer, endometrial cancer, and other cancers; family history of cancer; presence of polyps in the colon"
macrocytic anemia,"Fatigue, weakness, pale or yellowish skin, shortness of breath, dizziness or lightheadedness, rapid heartbeat, cold hands and feet","macrocytic anemia: Fatigue, weakness, pale or yellowish skin, shortness of breath, dizziness or lightheadedness, rapid heartbeat, cold hands and feet"
macular degeneration,"Blurred or distorted vision, difficulty recognizing faces, straight lines appearing wavy, dark or empty areas in the center of vision","macular degeneration: Blurred or distorted vision, difficulty recognizing faces, straight lines appearing wavy, dark or empty areas in the center of vision"
macular hole,"Blurred or distorted central vision, difficulty reading or performing tasks that require detailed vision, straight lines appearing bent","macular hole: Blurred or distorted central vision, difficulty reading or performing tasks that require detailed vision, straight lines appearing bent"
macular pucker,"Blurry or distorted central vision, difficulty seeing fine details, straight lines appearing wavy or bent, gray or cloudy area in central vision","macular pucker: Blurry or distorted central vision, difficulty seeing fine details, straight lines appearing wavy or bent, gray or cloudy area in central vision"
malabsorption,"Chronic diarrhea, weight loss, bloating, gas, abdominal pain or cramps, weakness, fatigue, muscle wasting, anemia, bone pain, easy bruising, vitamin deficiencies, neurological symptoms","malabsorption: Chronic diarrhea, weight loss, bloating, gas, abdominal pain or cramps, weakness, fatigue, muscle wasting, anemia, bone pain, easy bruising, vitamin deficiencies, neurological symptoms"
malabsorption syndrome,"Chronic diarrhea, abdominal pain or cramps, bloating, gas, foul-smelling stools, weight loss, fatigue, weakness, muscle wasting, anemia, vitamin deficiencies, bone pain, neurological symptoms","malabsorption syndrome: Chronic diarrhea, abdominal pain or cramps, bloating, gas, foul-smelling stools, weight loss, fatigue, weakness, muscle wasting, anemia, vitamin deficiencies, bone pain, neurological symptoms"
malaria,"Recurrent fever, chills, sweats, headache, nausea and vomiting, muscle and joint pain, fatigue, enlarged spleen, anemia, jaundice, confusion, seizures, coma","malaria: Recurrent fever, chills, sweats, headache, nausea and vomiting, muscle and joint pain, fatigue, enlarged spleen, anemia, jaundice, confusion, seizures, coma"
male infertility,"Difficulty achieving pregnancy, abnormal sperm production or function, low sperm count, problems with sperm motility or movement, hormonal imbalances, erectile dysfunction, pain or swelling in the testicle","male infertility: Difficulty achieving pregnancy, abnormal sperm production or function, low sperm count, problems with sperm motility or movement, hormonal imbalances, erectile dysfunction, pain or swelling in the testicle"
malignant hypertension,"Severe headache, blurred or double vision, chest pain, shortness of breath, confusion, dizziness, nausea and vomiting, seizures, unresponsiveness, swelling or edema, changes in vision","malignant hypertension: Severe headache, blurred or double vision, chest pain, shortness of breath, confusion, dizziness, nausea and vomiting, seizures, unresponsiveness, swelling or edema, changes in vision"
malignant hyperthermia,"Rapid heart rate, high fever, muscle rigidity, increased carbon dioxide production, acidosis, sweating, rapid breathing, cyanosis, irregular heartbeats, organ failure, unconsciousness, death","malignant hyperthermia: Rapid heart rate, high fever, muscle rigidity, increased carbon dioxide production, acidosis, sweating, rapid breathing, cyanosis, irregular heartbeats, organ failure, unconsciousness, death"
mallory-weiss syndrome,"Vomiting blood, black or tarry stools, abdominal pain, nausea, vomiting, difficulty swallowing, weak pulse, dizziness, fainting, weakness","mallory-weiss syndrome: Vomiting blood, black or tarry stools, abdominal pain, nausea, vomiting, difficulty swallowing, weak pulse, dizziness, fainting, weakness"
malnutrition,"Weight loss, fatigue, weakness, delayed wound healing, dry skin, brittle hair, swollen or bleeding gums, frequent infections, muscle wasting, thinning of bones, neurological symptoms, developmental delays","malnutrition: Weight loss, fatigue, weakness, delayed wound healing, dry skin, brittle hair, swollen or bleeding gums, frequent infections, muscle wasting, thinning of bones, neurological symptoms, developmental delays"
mania,"Elevated mood, increased energy, decreased need for sleep, racing thoughts, rapid speech, impulsive behavior, poor judgment, inflated self-esteem, reckless behavior, irritability, agitation, hallucinations","mania: Elevated mood, increased energy, decreased need for sleep, racing thoughts, rapid speech, impulsive behavior, poor judgment, inflated self-esteem, reckless behavior, irritability, agitation, hallucinations"
mantle cell lymphoma,"Painless swelling of lymph nodes in the neck, armpits, or groin, fatigue, unexplained weight loss, fever, night sweats, abdominal pain or fullness, feeling of fullness in the abdomen, easy bruising or bleeding","mantle cell lymphoma: Painless swelling of lymph nodes in the neck, armpits, or groin, fatigue, unexplained weight loss, fever, night sweats, abdominal pain or fullness, feeling of fullness in the abdomen, easy bruising or bleeding"
marasmus,"Severe malnutrition characterized by extreme weight loss, muscle wasting, fatigue, weakened immune function, growth retardation, thin, dry, wrinkled skin, sparse, brittle hair, sunken eyes, delayed development","marasmus: Severe malnutrition characterized by extreme weight loss, muscle wasting, fatigue, weakened immune function, growth retardation, thin, dry, wrinkled skin, sparse, brittle hair, sunken eyes, delayed development"
marfan syndrome,"Tall stature, long limbs, thin build, disproportionately long fingers and toes, chest wall abnormalities, scoliosis, flat feet, crowded teeth, stretch marks, nearsightedness, heart murmurs, valve problems, aortic aneurysm","marfan syndrome: Tall stature, long limbs, thin build, disproportionately long fingers and toes, chest wall abnormalities, scoliosis, flat feet, crowded teeth, stretch marks, nearsightedness, heart murmurs, valve problems, aortic aneurysm"
